Name,URI,Popularity,Genres,Followers
,,,,
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,96.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83656375.0
Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,95.0,"['reggaeton', 'trap latino', 'urbano latino']",78242297.0
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,94.0,"['canadian contemporary r&b', 'canadian pop', 'pop']",77307705.0
Peso Pluma,spotify:artist:12GqGscKJx3aE4t07u7eVZ,91.0,"['corridos tumbados', 'sad sierreno']",10663202.0
Arijit Singh,spotify:artist:4YRxDV8wJFPHPTeXepOstw,89.0,"['filmi', 'modern bollywood']",99254124.0
Feid,spotify:artist:2LRoIwlKmHjgvigdNGBHNo,90.0,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",9181585.0
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,91.0,"['chicago rap', 'hip hop', 'rap']",23000997.0
Junior H,spotify:artist:7Gi6gjaWy3DxyilpF1a8Is,89.0,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",12855285.0
,,,,
Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,90.0,"['detroit hip hop', 'hip hop', 'rap']",80398724.0
KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla,89.0,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",43178006.0
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,88.0,"['pop', 'r&b', 'rap']",16866313.0
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,89.0,"['barbadian pop', 'pop', 'urban contemporary']",58782864.0
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,89.0,['pop'],95467996.0
Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,88.0,['pop'],31775507.0
Pritam,spotify:artist:1wRPtKGflJrBx9BmLsSwlU,87.0,"['filmi', 'indian instrumental', 'modern bollywood']",25637033.0
Fuerza Regida,spotify:artist:0ys2OFYzWYB5hRDLCsBqxt,87.0,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",6672923.0
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,89.0,"['canadian pop', 'pop']",74456303.0
Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,87.0,"['art pop', 'pop']",90653882.0
BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,86.0,"['k-pop', 'k-pop boy group', 'pop']",71614491.0
Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,87.0,"['permanent wave', 'pop']",48782170.0
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,100.0,['pop'],98437445.0
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,96.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83656375.0
Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,95.0,"['reggaeton', 'trap latino', 'urbano latino']",78242297.0
